Player,Team,Position,Games,PassingCompletions,RushingAttempts,RushingAttempts,ReceivingYards,ReceivingYards,ReceivingYards,ReceivingTD,ReceivingTD,ReceivingTD,ReceivingTD,PassingInt,RushingAttempts,RushingAttempts,ReceivingYards,ReceivingYards,ReceivingYards,ReceivingTD,ReceivingTD,ReceivingTD,ReceivingTD,ReceivingTargets,Receptions,ReceivingYards,ReceivingYards,ReceivingYards,ReceivingTD,ReceivingTD,ReceivingTD,ReceivingTD,FantasyPoints,PlayerID
Gardner Minshew II*,IND,QB,17,305,490,34,3305,100,0,15,3,0,3,9,490,34,3305,100,0,15,3,0,3,0,0,3305,100,0,15,3,0,3,196.0,85
Desmond Ridder,ATL,QB,15,249,388,53,2836,193,-6,12,5,0,5,12,388,53,2836,193,-6,12,5,0,5,1,1,2836,193,-6,12,5,0,5,176.0,86
Alvin Kamara,NOR,RB,13,0,0,180,0,694,466,0,5,1,6,0,0,180,0,694,466,0,5,1,6,86,75,0,694,466,0,5,1,6,158.0,87
Bryce Young,CAR,QB,16,315,527,39,2877,253,0,11,0,0,0,10,527,39,2877,253,0,11,0,0,0,0,0,2877,253,0,11,0,0,0,156.0,88
Kirk Cousins,MIN,QB,8,216,311,14,2331,25,0,18,0,0,0,5,311,14,2331,25,0,18,0,0,0,0,0,2331,25,0,18,0,0,0,150.0,89
Joe Burrow,CIN,QB,10,244,365,31,2309,88,0,15,0,0,0,6,365,31,2309,88,0,15,0,0,0,0,0,2309,88,0,15,0,0,0,147.0,90
Kyler Murray,ARI,QB,8,176,268,44,1799,244,0,10,3,0,3,5,268,44,1799,244,0,10,3,0,3,0,0,1799,244,0,10,3,0,3,146.0,91
Chuba Hubbard,CAR,RB,17,0,0,238,0,902,233,0,5,0,5,0,0,238,0,902,233,0,5,0,5,44,39,0,902,233,0,5,0,5,144.0,92
Josh Jacobs,LVR,RB,13,0,0,233,0,805,296,0,6,0,6,0,0,233,0,805,296,0,6,0,6,54,37,0,805,296,0,6,0,6,144.0,93
Jake Browning,CIN,QB,9,171,243,27,1936,127,-7,12,3,0,3,7,243,27,1936,127,-7,12,3,0,3,1,1,1936,127,-7,12,3,0,3,143.0,94
Zack Moss,IND,RB,14,0,0,183,0,794,192,0,5,2,7,0,0,183,0,794,192,0,5,2,7,37,27,0,794,192,0,5,2,7,143.0,95
Devin Singletary,HOU,RB,17,1,1,216,6,898,193,1,4,0,4,0,1,216,6,898,193,1,4,0,4,38,30,6,898,193,1,4,0,4,137.0,96
Jonathan Taylor,IND,RB,10,0,0,169,0,741,153,0,7,1,8,0,0,169,0,741,153,0,7,1,8,23,19,0,741,153,0,7,1,8,137.0,97
Jaylen Warren,PIT,RB,17,0,0,149,0,784,370,0,4,0,4,0,0,149,0,784,370,0,4,0,4,74,61,0,784,370,0,4,0,4,135.0,98
Austin Ekeler,LAC,RB,14,0,0,179,0,628,436,0,5,1,6,0,0,179,0,628,436,0,5,1,6,74,51,0,628,436,0,5,1,6,134.0,99
Javonte Williams,DEN,RB,16,0,0,217,0,774,228,0,3,2,5,0,0,217,0,774,228,0,3,2,5,58,47,0,774,228,0,3,2,5,132.0,100
Zay Flowers,BAL,WR,16,0,0,8,0,56,858,0,1,5,6,0,0,8,0,56,858,0,1,5,6,108,77,0,56,858,0,1,5,6,129.0,101
Adam Thielen,CAR,WR,17,0,0,1,0,6,1014,0,0,4,4,0,0,1,0,6,1014,0,0,4,4,137,103,0,6,1014,0,0,4,4,128.0,102
Jaylen Waddle,MIA,WR,14,0,0,3,0,12,1014,0,0,4,4,0,0,3,0,12,1014,0,0,4,4,104,72,0,12,1014,0,0,4,4,127.0,103
Chris Godwin,TAM,WR,17,0,1,4,0,38,1024,0,1,2,3,0,1,4,0,38,1024,0,1,2,3,130,83,0,38,1024,0,1,2,3,126.0,104
Aidan O'Connell,LVR,QB,11,213,343,17,2218,11,0,12,1,0,1,7,343,17,2218,11,0,12,1,0,1,0,0,2218,11,0,12,1,0,1,126.0,105
Ezekiel Elliott,NWE,RB,17,0,0,184,0,642,313,0,3,2,5,0,0,184,0,642,313,0,3,2,5,65,51,0,642,313,0,3,2,5,124.0,106
Tyler Lockett,SEA,WR,17,0,0,0,0,0,894,0,0,5,5,0,0,0,0,0,894,0,0,5,5,122,79,0,0,894,0,0,5,5,123.0,107
Tyler Allgeier,ATL,RB,17,0,0,186,0,683,193,0,4,1,5,0,0,186,0,683,193,0,4,1,5,23,18,0,683,193,0,4,1,5,120.0,108
Zach Wilson,NYJ,QB,12,221,368,36,2271,211,0,8,0,0,0,7,368,36,2271,211,0,8,0,0,0,0,0,2271,211,0,8,0,0,0,120.0,109
Brandin Cooks,DAL,WR,16,0,0,5,0,35,657,0,0,8,8,0,0,5,0,35,657,0,0,8,8,81,54,0,35,657,0,0,8,8,119.0,110
Tank Dell,HOU,WR,11,0,0,11,0,51,709,0,0,7,7,0,0,11,0,51,709,0,0,7,7,75,47,0,51,709,0,0,7,7,118.0,111
Garrett Wilson,NYJ,WR,17,0,1,4,0,0,1042,0,0,3,3,0,1,4,0,0,1042,0,0,3,3,168,95,0,0,1042,0,0,3,3,118.0,112
Gabriel Davis,BUF,WR,17,0,0,1,0,-2,746,0,0,7,7,0,0,1,0,-2,746,0,0,7,7,81,45,0,-2,746,0,0,7,7,116.0,113
Romeo Doubs,GNB,WR,17,0,0,0,0,0,674,0,0,8,8,0,0,0,0,0,674,0,0,8,8,96,59,0,0,674,0,0,8,8,115.0,114
Kenny Pickett,PIT,QB,12,201,324,42,2070,54,0,6,1,0,1,4,324,42,2070,54,0,6,1,0,1,0,0,2070,54,0,6,1,0,1,110.0,115
Rashid Shaheed*+,NOR,WR,15,0,0,7,0,37,719,0,0,5,6,0,0,7,0,37,719,0,0,5,6,75,46,0,37,719,0,0,5,6,110.0,116
Rhamondre Stevenson,NWE,RB,12,0,0,156,0,619,238,0,4,0,4,0,0,156,0,619,238,0,4,0,4,51,38,0,619,238,0,4,0,4,108.0,117
Mac Jones,NWE,QB,11,224,345,26,2120,96,0,10,0,0,0,12,345,26,2120,96,0,10,0,0,0,0,0,2120,96,0,10,0,0,0,106.0,118
Aaron Jones,GNB,RB,11,0,0,142,0,656,233,0,2,1,3,0,0,142,0,656,233,0,2,1,3,43,30,0,656,233,0,2,1,3,105.0,119
Cooper Kupp,LAR,WR,12,0,0,1,0,-3,737,0,0,5,5,0,0,1,0,-3,737,0,0,5,5,95,59,0,-3,737,0,0,5,5,105.0,120
Drake London,ATL,WR,16,1,1,0,22,0,905,0,0,2,2,0,1,0,22,0,905,0,0,2,2,110,69,22,0,905,0,0,2,2,105.0,121
Kareem Hunt,CLE,RB,15,0,0,135,0,411,84,0,9,0,9,0,0,135,0,411,84,0,9,0,9,21,15,0,411,84,0,9,0,9,104.0,122
Alexander Mattison,MIN,RB,16,0,0,180,0,700,192,0,0,3,3,0,0,180,0,700,192,0,0,3,3,44,30,0,700,192,0,0,3,3,103.0,123
Diontae Johnson,PIT,WR,13,0,0,0,0,0,717,0,0,5,5,0,0,0,0,0,717,0,0,5,5,87,51,0,0,717,0,0,5,5,102.0,124
Will Levis,TEN,QB,9,149,255,25,1808,57,0,8,1,0,1,4,255,25,1808,57,0,8,1,0,1,0,0,1808,57,0,8,1,0,1,102.0,125
Tyjae Spears,TEN,RB,17,0,0,100,0,453,385,0,2,1,3,0,0,100,0,453,385,0,2,1,3,70,52,0,453,385,0,2,1,3,102.0,126
Joe Flacco,CLE,QB,5,123,204,9,1616,2,0,13,0,0,0,8,204,9,1616,2,0,13,0,0,0,0,0,1616,2,0,13,0,0,0,101.0,127
Darius Slayton,NYG,WR,17,0,0,0,0,0,770,0,0,4,4,0,0,0,0,0,770,0,0,4,4,79,50,0,0,770,0,0,4,4,101.0,128
AJ Dillon,GNB,RB,15,0,0,178,0,613,223,0,2,0,2,0,0,178,0,613,223,0,2,0,2,28,22,0,613,223,0,2,0,2,96.0,129
Tee Higgins,CIN,WR,12,0,0,0,0,0,656,0,0,5,5,0,0,0,0,0,656,0,0,5,5,76,42,0,0,656,0,0,5,5,96.0,130
Curtis Samuel,WAS,WR,16,0,0,7,0,39,613,0,1,4,5,0,0,7,0,39,613,0,1,4,5,91,62,0,39,613,0,1,4,5,95.0,131
Tommy DeVito,NYG,QB,9,114,178,36,1101,195,0,8,1,0,1,3,178,36,1101,195,0,8,1,0,1,0,0,1101,195,0,8,1,0,1,94.0,132
Khalil Herbert,CHI,RB,12,0,0,132,0,611,134,0,2,1,3,0,0,132,0,611,134,0,2,1,3,31,20,0,611,134,0,2,1,3,93.0,133
Christian Kirk,JAX,WR,12,1,2,1,-1,6,787,0,0,3,3,0,2,1,-1,6,787,0,0,3,3,85,57,-1,6,787,0,0,3,3,93.0,134
Josh Downs,IND,WR,17,0,0,0,0,0,771,0,0,2,2,0,0,0,0,0,771,0,0,2,2,98,68,0,0,771,0,0,2,2,89.0,135
Josh Reynolds,DET,WR,17,0,0,0,0,0,608,0,0,5,5,0,0,0,0,0,608,0,0,5,5,64,40,0,0,608,0,0,5,5,89.0,136
Jerry Jeudy,DEN,WR,16,0,0,0,0,0,758,0,0,2,2,0,0,0,0,0,758,0,0,2,2,87,54,0,0,758,0,0,2,2,88.0,137
Jaxon Smith-Njigba,SEA,WR,17,0,0,0,0,0,628,0,0,4,4,0,0,0,0,0,628,0,0,4,4,93,63,0,0,628,0,0,4,4,87.0,138
Tyrod Taylor,NYG,QB,11,116,180,38,1341,197,0,5,0,0,0,3,180,38,1341,197,0,5,0,0,0,0,0,1341,197,0,5,0,0,0,87.0,139
Deshaun Watson,CLE,QB,6,105,171,26,1115,142,0,7,1,0,1,4,171,26,1115,142,0,7,1,0,1,0,0,1115,142,0,7,1,0,1,87.0,140
Marquise Brown,ARI,WR,14,0,0,2,0,23,574,0,0,4,4,0,0,2,0,23,574,0,0,4,4,101,51,0,23,574,0,0,4,4,84.0,141
Kyle Pitts,ATL,TE,17,0,0,1,0,-4,667,0,0,3,3,0,0,1,0,-4,667,0,0,3,3,90,53,0,-4,667,0,0,3,3,84.0,142
DJ Chark,CAR,WR,15,0,0,0,0,0,525,0,0,5,5,0,0,0,0,0,525,0,0,5,5,66,35,0,0,525,0,0,5,5,81.0,143
Justice Hill,BAL,RB,16,0,0,84,0,387,206,0,3,1,4,0,0,84,0,387,206,0,3,1,4,39,28,0,387,206,0,3,1,4,81.0,144
Dontayvion Wicks,GNB,WR,15,1,1,1,14,1,581,0,0,4,4,0,1,1,14,1,581,0,0,4,4,58,39,14,1,581,0,0,4,4,81.0,145
Ty Chandler,MIN,RB,17,0,0,102,0,461,159,0,3,0,3,0,0,102,0,461,159,0,3,0,3,25,21,0,461,159,0,3,0,3,80.0,146
D'Onta Foreman,CHI,RB,9,0,0,109,0,425,77,0,4,1,5,0,0,109,0,425,77,0,4,1,5,16,11,0,425,77,0,4,1,5,80.0,147
Ryan Tannehill,TEN,QB,10,149,230,17,1616,74,0,4,1,0,1,7,230,17,1616,74,0,4,1,0,1,1,0,1616,74,0,4,1,0,1,80.0,148
Antonio Gibson,WAS,RB,16,0,0,65,0,265,389,0,1,2,3,0,0,65,0,265,389,0,1,2,3,59,48,0,265,389,0,1,2,3,79.0,149
Tyler Boyd,CIN,WR,17,0,1,2,0,11,667,0,0,2,2,1,1,2,0,11,667,0,0,2,2,98,67,0,11,667,0,0,2,2,78.0,150
Hunter Henry,NWE,TE,14,0,0,0,0,0,419,0,0,6,6,0,0,0,0,0,419,0,0,6,6,61,42,0,0,419,0,0,6,6,78.0,151
Dallas Goedert,PHI,TE,14,0,0,1,0,1,592,0,0,3,3,0,0,1,0,1,592,0,0,3,3,83,59,0,1,592,0,0,3,3,77.0,152
Dalton Kincaid,BUF,TE,16,0,0,0,0,0,673,0,0,2,2,0,0,0,0,0,673,0,0,2,2,91,73,0,0,673,0,0,2,2,77.0,153
Michael Wilson,ARI,WR,13,0,0,0,0,0,565,0,0,3,3,0,0,0,0,0,565,0,0,3,3,58,38,0,0,565,0,0,3,3,77.0,154
Jahan Dotson,WAS,WR,17,0,0,0,0,0,518,0,0,4,4,0,0,0,0,0,518,0,0,4,4,83,49,0,0,518,0,0,4,4,76.0,155
Rico Dowdle,DAL,RB,16,0,0,89,0,361,144,0,2,2,4,0,0,89,0,361,144,0,2,2,4,22,17,0,361,144,0,2,2,4,75.0,156
Jaleel McLaughlin,DEN,RB,17,0,0,76,0,410,160,0,1,2,3,0,0,76,0,410,160,0,1,2,3,36,31,0,410,160,0,1,2,3,75.0,157
Khalil Shakir,BUF,WR,17,0,0,1,0,10,611,0,0,2,2,0,0,1,0,10,611,0,0,2,2,45,39,0,10,611,0,0,2,2,74.0,158
